material_id,formula,work_function_eV,E_ads_DFT_eV,band_gap_DFT,band_gap_CGCNN,formation_energy_DFT,formation_energy_CGCNN,energy_hull_DFT,energy_hull_CGCNN,bulk_modulus_DFT,bulk_modulus_CGCNN,shear_modulus_DFT,shear_modulus_CGCNN,young_modulus_DFT,young_modulus_CGCNN
6466,Bi2Pt,5.84296,-3.77778,0.0,-0.006,0.04235,0.091,0.0,-0.08,30.999999999999996,28.25,9.0,8.484,24.61764705882353,23.417
6493,BiBr3,5.50025,-3.74499,2.69,2.87,-0.74825,-0.792,0.0,-0.178,13.02,9.472,6.09,2.643,15.805674418604648,6.753
425,TaS2,5.67032,-3.72668,0.0,-0.05,-1.14598,-1.167,2.7287,2.789,66.2,66.884,41.04,39.473,102.03485227841763,99.162
1615,AgTe2,4.65215,-3.68302,,0.54,,0.063,,0.949,,33.343,,10.938,,28.683
7135,BCl3,5.08893,-3.67679,4.531,0.873,-0.95171,-0.192,0.9536,0.769,8.78,34.78,5.61,14.831,13.874873239436623,38.309
6976,SbClO,5.75472,-3.6681,1.109,0.992,-0.91639,-0.927,0.9131,0.889,91.14,81.54,36.63,42.972,96.90734978229318,107.624
6492,AlPd5I2,5.09837,-3.64809,0.0,1.123,-0.3509,-0.641,0.0,0.25,20.000000000000004,28.55,12.999999999999998,21.298,32.05479452054794,51.778
7133,Sr2BrN2,5.4423,-3.63989,0.0,-0.068,-0.19683,-0.058,0.0,-0.148,,28.996,,8.734,,23.422
3384,RbHfMg6O7,5.65473,-3.62039,,2.434,-2.449970374272989,-2.142,,0.398,,55.043,,22.533,,58.108
6982,NbS2,5.37693,-3.58174,0.0,0.074,-1.08445,-1.096,2.3875,2.49,50.4,51.986,32.0,31.047,79.23144104803494,77.693
5164,Mn3VO8,5.56546,-3.55721,0.5214999999999999,0.452,-1.91598260524,-2.378,,2.016,42.00000000000001,74.913,28.0,34.814,68.72727272727272,90.176
7376,Bi2Pt,5.57899,-3.53832,0.0,-0.006,0.04235,0.091,0.0,-0.08,30.999999999999996,28.25,9.0,8.484,24.61764705882353,23.417
7413,PI2,5.37071,-3.53681,1.594,1.601,-0.05037,0.015,0.6738,0.521,11.07,7.437,6.82,4.603,16.974184361728703,11.688
7050,TiGeO3,5.64598,-3.52398,2.01,3.316,-2.20488,-2.968,2.0848,2.171,187.73,80.214,87.98,36.695,228.27889583365325,93.762
