Topology,cif_file,Num_Atoms,Density_g_cm3,Band_Gap_eV,Formation_Energy_eV_atom,Bulk_Modulus_GPa,Shear_Modulus_GPa,Young_Modulus_GPa,E_ads_DFT_eV,TPMS_Composite_Score,Rank
Diamond (D),graphene_sheet_diamond.cif,332,2.4,0.0,0.124,152.4,78.2,198.5,-2.48,0.9393783695822653,1
Gyroid (G),graphene_sheet_gyroid.cif,244,1.93,0.0,0.098,126.8,64.5,163.7,-2.55,0.8256527030526872,2
IWP (I-WP),graphene_sheet_iwp.cif,228,2.26,0.02,0.145,142.1,71.0,181.2,-2.35,0.8072377411534717,3
Neovius (N),graphene_sheet_neovius.cif,188,2.05,0.01,0.162,131.5,66.8,170.1,-2.28,0.7086941624430343,4
Primitive (P),graphene_sheet_primitive.cif,200,1.29,0.0,0.185,84.6,42.1,108.2,-2.12,0.33981514924586265,5
